Date,Open,High,Low,Close,Volume
2025-07-03,553.18,557.2,553.18,556.22,26443524
2025-07-02,546.16,551.0,546.12,550.8,36538281
2025-07-01,549.73,550.71,544.66,546.99,56166736
2025-06-30,551.26,552.8,549.01,551.64,45548742
2025-06-27,547.26,549.99,544.545,548.09,57577147
2025-06-26,543.35,546.67,541.52,546.22,43811432
2025-06-25,542.06,543.31,539.38,541.16,44804168
2025-06-24,536.89,540.7,536.27,539.78,45441982
2025-06-23,526.81,532.17,523.65,531.65,50666146
2025-06-20,532.26,533.56,524.88,526.83,61643519
2025-06-18,530.1,532.55,527.4,528.99,43983522
2025-06-17,531.71,533.325,527.91,529.08,42180866
2025-06-16,530.5,535.37,530.45,534.29,37622051
2025-06-13,527.68,531.87,525.73,526.96,55814443
2025-06-12,531.09,534.6438,530.84,533.66,34104887
2025-06-11,535.62,536.78,530.11,532.41,53701033
2025-06-10,531.17,534.9,528.89,534.21,40664795
2025-06-09,530.14,532.35,529.01,530.7,33688671
2025-06-06,530.0,531.8,528.21,529.92,42467021
2025-06-05,530.18,533.05,522.66,524.79,61286623
2025-06-04,528.01,529.84,525.9694,528.77,41359322
2025-06-03,523.56,528.74,522.69,527.3,44070330
2025-06-02,517.24,523.45,515.97,523.21,44762817
2025-05-30,519.44,520.68,511.93,519.11,67662836
2025-05-29,526.33,526.48,517.32,519.93,58724069
2025-05-28,522.18,523.68,518.39,518.91,46637175
2025-05-27,516.15,521.71,514.59,521.22,47226323
2025-05-23,506.18,511.84,505.58,509.24,58368075
2025-05-22,513.66,517.71,512.3,514.0,55607169
2025-05-21,516.27,523.0,511.24,513.04,71292831
2025-05-20,519.47,520.93,516.66,520.27,42517561
2025-05-19,514.24,522.53,514.24,522.01,52536154
2025-05-16,520.66,521.7,517.1,521.51,48394603
2025-05-15,516.52,521.93,515.17,519.25,50153275
2025-05-14,516.77,519.227,515.75,518.68,47014516
2025-05-13,509.16,517.39,508.42,515.59,53269573
2025-05-12,506.99,507.89,501.48,507.85,45090616
2025-05-09,490.21,491.54,486.195,487.97,27767416
2025-05-08,488.53,492.7,484.17,488.29,39577592
2025-05-07,482.08,485.8,476.782,483.3,38109864
2025-05-06,479.56,485.05,478.19,481.41,32786310
2025-05-05,484.6,489.03,484.1,485.93,28309490
2025-05-02,486.54,490.91,484.83,488.83,39218082
2025-05-01,483.41,487.18,480.74,481.68,43316539
2025-04-30,467.13,477.2,462.43,475.47,46810610
2025-04-29,470.17,476.424,469.59,475.53,30613120
2025-04-28,473.03,474.808,466.03,472.41,33550778
2025-04-25,466.97,473.09,465.39,472.56,38697063
